Sort Algorithm	 Size	 Style_(?with dupes)	 t1	 t2	 t3	 tavg

UNIX_SORT	 10000	 reversed	 0.005000	 0.006000	 0.004000	 0.005000
INSERT_SORT	 10000	 reversed	 0.002000	 0.006000	 0.006000	 0.004667

UNIX_SORT	 25000	 reversed	 0.009000	 0.009000	 0.012000	 0.010000
INSERT_SORT	 25000	 reversed	 0.011000	 0.011000	 0.007000	 0.009667

UNIX_SORT	 50000	 reversed	 0.024000	 0.020000	 0.024000	 0.022667
INSERT_SORT	 50000	 reversed	 0.018000	 0.020000	 0.019000	 0.019000

UNIX_SORT	 100000	 reversed	 0.049000	 0.045000	 0.048000	 0.047333
INSERT_SORT	 100000	 reversed	 0.042000	 0.038000	 0.038000	 0.039333

UNIX_SORT	 110000	 reversed	 0.054000	 0.055000	 0.048000	 0.052333
INSERT_SORT	 110000	 reversed	 0.045000	 0.038000	 0.046000	 0.043000

UNIX_SORT	 10000	 random    	 0.011000	 0.009000	 0.009000	 0.009667
INSERT_SORT	 10000	 random    	 0.319000	 0.321000	 0.336000	 0.325333

UNIX_SORT	 25000	 random    	 0.022000	 0.022000	 0.024000	 0.022667
INSERT_SORT	 25000	 random    	 3.326000	 3.348000	 3.325000	 3.333000

UNIX_SORT	 50000	 random    	 0.039000	 0.046000	 0.043000	 0.042667
INSERT_SORT	 50000	 random    	 17.794000	 17.273000	 17.464000	 17.510333

UNIX_SORT	 100000	 random    	 0.093000	 0.090000	 0.097000	 0.093333
INSERT_SORT	 100000	 random    	 104.598000	 120.986000	 123.372000	 116.318667

UNIX_SORT	 110000	 random    	 0.106000	 0.114000	 0.099000	 0.106333
INSERT_SORT	 110000	 random    	 161.363000	 164.632000	 146.506000	 157.500333

UNIX_SORT	 10000	 sorted   	 0.000000	 0.005000	 0.005000	 0.003333
INSERT_SORT	 10000	 sorted   	 0.334000	 0.334000	 0.332000	 0.333333

UNIX_SORT	 25000	 sorted   	 0.011000	 0.007000	 0.011000	 0.009667
INSERT_SORT	 25000	 sorted   	 2.072000	 2.063000	 2.064000	 2.066333

UNIX_SORT	 50000	 sorted   	 0.021000	 0.017000	 0.018000	 0.018667
INSERT_SORT	 50000	 sorted   	 8.275000	 8.259000	 8.267000	 8.267000

UNIX_SORT	 100000	 sorted   	 0.041000	 0.038000	 0.035000	 0.038000
INSERT_SORT	 100000	 sorted   	 33.726000	 33.863000	 33.696000	 33.761667

UNIX_SORT	 110000	 sorted   	 0.043000	 0.043000	 0.050000	 0.045333
INSERT_SORT	 110000	 sorted   	 41.490000	 42.586000	 41.176000	 41.750667

UNIX_SORT	 10000	 random_dup	 0.009000	 0.006000	 0.006000	 0.007000
INSERT_SORT	 10000	 random_dup	 0.339000	 0.322000	 0.338000	 0.333000

UNIX_SORT	 25000	 random_dup	 0.025000	 0.020000	 0.023000	 0.022667
INSERT_SORT	 25000	 random_dup	 3.334000	 3.328000	 3.335000	 3.332333

UNIX_SORT	 50000	 random_dup	 0.044000	 0.044000	 0.048000	 0.045333
INSERT_SORT	 50000	 random_dup	 17.501000	 17.420000	 17.774000	 17.565000

UNIX_SORT	 100000	 random_dup	 0.100000	 0.097000	 0.102000	 0.099667
INSERT_SORT	 100000	 random_dup	 110.247000	 117.402000	 105.299000	 110.982667

UNIX_SORT	 110000	 random_dup	 0.105000	 0.107000	 0.109000	 0.107000
INSERT_SORT	 110000	 random_dup	 147.249000	 173.745000	 142.736000	 154.576667

UNIX_SORT	 10000	 reversed_dup	 0.006000	 0.007000	 0.008000	 0.007000
INSERT_SORT	 10000	 reversed_dup	 0.005000	 0.006000	 0.006000	 0.005667

UNIX_SORT	 25000	 reversed_dup	 0.010000	 0.013000	 0.013000	 0.012000
INSERT_SORT	 25000	 reversed_dup	 0.013000	 0.009000	 0.010000	 0.010667

UNIX_SORT	 50000	 reversed_dup	 0.027000	 0.022000	 0.024000	 0.024333
INSERT_SORT	 50000	 reversed_dup	 0.021000	 0.018000	 0.020000	 0.019667

UNIX_SORT	 100000	 reversed_dup	 0.048000	 0.048000	 0.048000	 0.048000
INSERT_SORT	 100000	 reversed_dup	 0.044000	 0.043000	 0.043000	 0.043333

UNIX_SORT	 110000	 reversed_dup	 0.058000	 0.054000	 0.060000	 0.057333
INSERT_SORT	 110000	 reversed_dup	 0.038000	 0.047000	 0.048000	 0.044333

UNIX_SORT	 10000	 sorted_dup	 0.006000	 0.003000	 0.005000	 0.004667
INSERT_SORT	 10000	 sorted_dup	 0.337000	 0.337000	 0.335000	 0.336333

UNIX_SORT	 25000	 sorted_dup	 0.008000	 0.012000	 0.014000	 0.011333
INSERT_SORT	 25000	 sorted_dup	 2.065000	 2.073000	 2.067000	 2.068333

UNIX_SORT	 50000	 sorted_dup	 0.019000	 0.022000	 0.023000	 0.021333
INSERT_SORT	 50000	 sorted_dup	 8.283000	 8.273000	 8.264000	 8.273333

UNIX_SORT	 100000	 sorted_dup	 0.040000	 0.041000	 0.046000	 0.042333
INSERT_SORT	 100000	 sorted_dup	 35.172000	 34.214000	 34.372000	 34.586000

UNIX_SORT	 110000	 sorted_dup	 0.038000	 0.050000	 0.046000	 0.044667
INSERT_SORT	 110000	 sorted_dup	 41.482000	 41.182000	 41.262000	 41.308667
